millis,x,y,z,state
166556,-0.376953125,0.595703125,-0.724609375,OnFace
166652,-0.916015625,0.736328125,-0.8359375,OnFace
166901,-0.361328125,-0.01953125,-0.013671875,Handling
167031,-0.568359375,0.806640625,-0.345703125,Handling
167132,-0.076171875,0.603515625,-0.056640625,Handling
167437,0.6875,0.712890625,-0.322265625,Handling
167584,0.6875,0.712890625,-0.322265625,OnFace
167682,0.6953125,0.705078125,-0.322265625,OnFace
167778,0.6953125,0.70703125,-0.322265625,OnFace
167876,0.6953125,0.70703125,-0.322265625,OnFace
168163,0.6953125,0.70703125,-0.32421875,OnFace
168324,0.6953125,0.70703125,-0.32421875,OnFace
168422,0.6953125,0.70703125,-0.322265625,OnFace
168544,0.6953125,0.70703125,-0.322265625,OnFace
168696,0.6953125,0.70703125,-0.322265625,OnFace
168807,0.6953125,0.70703125,-0.322265625,OnFace
168905,0.6953125,0.70703125,-0.322265625,OnFace
169056,0.697265625,0.70703125,-0.322265625,OnFace
169234,0.6953125,0.70703125,-0.322265625,OnFace
169429,0.70703125,0.701171875,-0.3203125,OnFace
169661,0.380859375,1.3671875,-0.205078125,Handling
169802,0.546875,0.9140625,-0.25,Handling
169899,0.546875,0.9140625,-0.25,Handling
170235,0.357421875,0.029296875,0.328125,Shaking
170393,0.28125,-0.0234375,-1.064453125,Shaking
170491,-0.109375,0.671875,0.45703125,Shaking
170621,0.36328125,0.4453125,0.330078125,Shaking
170880,0.5,-0.408203125,-0.09765625,Shaking
171010,0.576171875,0.28515625,1.1015625,Shaking
171122,0.576171875,0.28515625,1.1015625,Rolling
171219,0.482421875,0.05078125,-0.00390625,Rolling
171432,-0.28125,0.564453125,-0.689453125,Rolling
171564,-0.37109375,0.59765625,-0.7265625,Rolling
171662,-0.37109375,0.58984375,-0.73046875,Rolling
171788,-0.37109375,0.58984375,-0.73046875,OnFace
171889,-0.37109375,0.58984375,-0.73046875,OnFace
171988,-0.37109375,0.58984375,-0.73046875,OnFace
172086,-0.37109375,0.58984375,-0.73046875,OnFace
172186,-0.37109375,0.58984375,-0.73046875,OnFace
172313,-0.37109375,0.58984375,-0.73046875,OnFace
172412,-0.37109375,0.58984375,-0.73046875,OnFace
172513,-0.37109375,0.591796875,-0.728515625,OnFace
172615,-0.37109375,0.58984375,-0.73046875,OnFace
172713,-0.37109375,0.58984375,-0.73046875,OnFace
172811,-0.37109375,0.591796875,-0.73046875,OnFace
172911,-0.37109375,0.591796875,-0.73046875,OnFace
173009,-0.37109375,0.58984375,-0.73046875,OnFace
173109,-0.361328125,0.60546875,-0.72265625,OnFace
173207,-0.361328125,0.60546875,-0.72265625,OnFace
173304,-0.345703125,0.744140625,-0.552734375,Shifting
173405,-0.392578125,0.73046875,-0.61328125,Shifting
173504,-0.392578125,0.73046875,-0.61328125,Shifting
173614,-0.578125,0.693359375,-0.75390625,Shifting
173713,-0.64453125,0.5234375,-0.552734375,Shifting
173855,-0.64453125,0.5234375,-0.552734375,Shifting
173982,-0.556640625,0.5390625,0.06640625,Shifting
174082,-0.767578125,0.798828125,-0.01171875,Shifting
174246,-0.40625,0.830078125,-0.455078125,Shifting
174346,-0.357421875,0.59375,-0.732421875,Shifting
174482,-0.357421875,0.59375,-0.732421875,Shifting
174606,-0.380859375,0.599609375,-0.71875,Shifting
174704,-0.380859375,0.59765625,-0.71875,OnFace
174799,-0.380859375,0.59765625,-0.71875,OnFace
174898,-0.380859375,0.59765625,-0.71875,OnFace
174998,-0.380859375,0.59765625,-0.71875,OnFace
175093,-0.380859375,0.59765625,-0.71875,OnFace
175204,-0.380859375,0.59765625,-0.716796875,OnFace
175356,-0.380859375,0.599609375,-0.71875,OnFace
175452,-0.380859375,0.59765625,-0.716796875,OnFace
